---
Testing convertNumbers.py with ../tests/
---

- TESTING convertNumbers.py ON: ../tests//TC0.txt
NUMBER: 128 | BINARY: 10000000 | HEXADECIMAL: 80
NUMBER: 64 | BINARY: 1000000 | HEXADECIMAL: 40
NUMBER: 256 | BINARY: 100000000 | HEXADECIMAL: 100
- Time elapsed 0.004273087999536074 seconds
---

- TESTING convertNumbers.py ON: ../tests//TC1.txt
NUMBER: 6980368 | BINARY: 11010101000001100010000 | HEXADECIMAL: 6A8310
NUMBER: 5517055 | BINARY: 10101000010111011111111 | HEXADECIMAL: 542EFF
NUMBER: 1336159 | BINARY: 101000110001101011111 | HEXADECIMAL: 14635F
NUMBER: 6750185 | BINARY: 11001101111111111101001 | HEXADECIMAL: 66FFE9
NUMBER: 1771937 | BINARY: 110110000100110100001 | HEXADECIMAL: 1B09A1
NUMBER: 360952 | BINARY: 1011000000111111000 | HEXADECIMAL: 581F8
NUMBER: 5672561 | BINARY: 10101101000111001110001 | HEXADECIMAL: 568E71
NUMBER: 916583 | BINARY: 11011111110001100111 | HEXADECIMAL: DFC67
NUMBER: 2700138 | BINARY: 1010010011001101101010 | HEXADECIMAL: 29336A
NUMBER: 9645053 | BINARY: 100100110010101111111101 | HEXADECIMAL: 932BFD
NUMBER: 1181110 | BINARY: 100100000010110110110 | HEXADECIMAL: 1205B6
NUMBER: 1492185 | BINARY: 101101100010011011001 | HEXADECIMAL: 16C4D9
NUMBER: 4018595 | BINARY: 1111010101000110100011 | HEXADECIMAL: 3D51A3
NUMBER: 7654888 | BINARY: 11101001100110111101000 | HEXADECIMAL: 74CDE8
NUMBER: 7062453 | BINARY: 11010111100001110110101 | HEXADECIMAL: 6BC3B5
NUMBER: 2478010 | BINARY: 1001011100111110111010 | HEXADECIMAL: 25CFBA
NUMBER: 6134768 | BINARY: 10111011001101111110000 | HEXADECIMAL: 5D9BF0
NUMBER: 8420417 | BINARY: 100000000111110001000001 | HEXADECIMAL: 807C41
NUMBER: 2917489 | BINARY: 1011001000010001110001 | HEXADECIMAL: 2C8471
NUMBER: 3340773 | BINARY: 1100101111100111100101 | HEXADECIMAL: 32F9E5
NUMBER: 1115956 | BINARY: 100010000011100110100 | HEXADECIMAL: 110734
NUMBER: 9172192 | BINARY: 100010111111010011100000 | HEXADECIMAL: 8BF4E0
NUMBER: 6271996 | BINARY: 10111111011001111111100 | HEXADECIMAL: 5FB3FC
NUMBER: 8686939 | BINARY: 100001001000110101011011 | HEXADECIMAL: 848D5B
NUMBER: 50986 | BINARY: 1100011100101010 | HEXADECIMAL: C72A
NUMBER: 9376410 | BINARY: 100011110001001010011010 | HEXADECIMAL: 8F129A
NUMBER: 5962327 | BINARY: 10110101111101001010111 | HEXADECIMAL: 5AFA57
NUMBER: 7686891 | BINARY: 11101010100101011101011 | HEXADECIMAL: 754AEB
NUMBER: 6615183 | BINARY: 11001001111000010001111 | HEXADECIMAL: 64F08F
NUMBER: 1864844 | BINARY: 111000111010010001100 | HEXADECIMAL: 1C748C
NUMBER: 3329962 | BINARY: 1100101100111110101010 | HEXADECIMAL: 32CFAA
NUMBER: 3942794 | BINARY: 1111000010100110001010 | HEXADECIMAL: 3C298A
NUMBER: 2614836 | BINARY: 1001111110011000110100 | HEXADECIMAL: 27E634
NUMBER: 7406772 | BINARY: 11100010000010010110100 | HEXADECIMAL: 7104B4
NUMBER: 2384190 | BINARY: 1001000110000100111110 | HEXADECIMAL: 24613E
NUMBER: 398347 | BINARY: 1100001010000001011 | HEXADECIMAL: 6140B
NUMBER: 8698503 | BINARY: 100001001011101010000111 | HEXADECIMAL: 84BA87
NUMBER: 9551696 | BINARY: 100100011011111101010000 | HEXADECIMAL: 91BF50
NUMBER: 1019556 | BINARY: 11111000111010100100 | HEXADECIMAL: F8EA4
NUMBER: 1677430 | BINARY: 110011001100001110110 | HEXADECIMAL: 199876
NUMBER: 3479629 | BINARY: 1101010001100001001101 | HEXADECIMAL: 35184D
NUMBER: 9309008 | BINARY: 100011100000101101010000 | HEXADECIMAL: 8E0B50
NUMBER: 5266170 | BINARY: 10100000101101011111010 | HEXADECIMAL: 505AFA
NUMBER: 4094340 | BINARY: 1111100111100110000100 | HEXADECIMAL: 3E7984
NUMBER: 1754055 | BINARY: 110101100001111000111 | HEXADECIMAL: 1AC3C7
NUMBER: 5861132 | BINARY: 10110010110111100001100 | HEXADECIMAL: 596F0C
NUMBER: 4471329 | BINARY: 10001000011101000100001 | HEXADECIMAL: 443A21
NUMBER: 8826052 | BINARY: 100001101010110011000100 | HEXADECIMAL: 86ACC4
NUMBER: 7469325 | BINARY: 11100011111100100001101 | HEXADECIMAL: 71F90D
NUMBER: 1973172 | BINARY: 111100001101110110100 | HEXADECIMAL: 1E1BB4
NUMBER: 53145 | BINARY: 1100111110011001 | HEXADECIMAL: CF99
NUMBER: 3897508 | BINARY: 1110110111100010100100 | HEXADECIMAL: 3B78A4
NUMBER: 7773386 | BINARY: 11101101001110011001010 | HEXADECIMAL: 769CCA
NUMBER: 6089829 | BINARY: 10111001110110001100101 | HEXADECIMAL: 5CEC65
NUMBER: 4223424 | BINARY: 10000000111000111000000 | HEXADECIMAL: 4071C0
NUMBER: 9761752 | BINARY: 100101001111001111011000 | HEXADECIMAL: 94F3D8
NUMBER: 7930799 | BINARY: 11110010000001110101111 | HEXADECIMAL: 7903AF
NUMBER: 3597495 | BINARY: 1101101110010010110111 | HEXADECIMAL: 36E4B7
NUMBER: 9302948 | BINARY: 100011011111001110100100 | HEXADECIMAL: 8DF3A4
NUMBER: 2288712 | BINARY: 1000101110110001001000 | HEXADECIMAL: 22EC48
NUMBER: 197187 | BINARY: 110000001001000011 | HEXADECIMAL: 30243
NUMBER: 5266939 | BINARY: 10100000101110111111011 | HEXADECIMAL: 505DFB
